Admission Tickets	U+1F39F
Aerial Tramway	U+1F6A1
Cable Car	U+1F6A1
Ropeway	U+1F6A1
Gondola	U+1F6A1
Airplane	U+2708
Plane	U+2708
Aeroplane	U+2708
Flight	U+2708
Flying	U+2708
Alarm Clock	U+23F0
Clock	U+23F0
Alarm	U+23F0
Alembic	U+2697
Alien Monster	U+1F47E
Space Invader	U+1F47E
Video Game Monster	U+1F47E
Ambulance	U+1F691
American Football	U+1F3C8
Football	U+1F3C8
Gridiron	U+1F3C8
Superbowl	U+1F3C8
Amphora	U+1F3FA
Jar	U+1F3FA
Vase	U+1F3FA
Anchor	U+2693
Fisherman	U+2693
Admiralty Pattern Anchor	U+2693
Anger Symbol	U+1F4A2
Anger Sign	U+1F4A2
Punch	U+1F4A2
Angry Face	U+1F620
Angry	U+1F620
Grumpy Face	U+1F620
Anguished Face	U+1F627
Pained Face	U+1F627
Ant	U+1F41C
Black Ant	U+1F41C
Bullant	U+1F41C
Antenna With Bars	U+1F4F6
Reception Bars	U+1F4F6
Signal Strength	U+1F4F6
Stairs	U+1F4F6
Anticlockwise Downwards and Upwards Open Circle Arrows	U+1F504
Refresh Icon	U+1F504
Reverse Arrows	U+1F504
Aquarius	U+2652
Aries	U+2648
Arrow Pointing Rightwards Then Curving Downwards	U+2935
Curved Down Arrow	U+2935
Arrow Pointing Rightwards Then Curving Upwards	U+2934
Articulated Lorry	U+1F69B
Truck	U+1F69B
Green Truck	U+1F69B
Artist Palette	U+1F3A8
Painting	U+1F3A8
Art	U+1F3A8
Astonished Face	U+1F632
Shocked Face	U+1F632
Gasping Face	U+1F632
Drunk Face	U+1F632
Athletic Shoe	U+1F45F
Sneaker	U+1F45F
Runner	U+1F45F
Trainer	U+1F45F
Atom Symbol	U+269B
Aubergine	U+1F346
Eggplant	U+1F346
Purple Vegetable	U+1F346
Automobile	U+1F697
Red Car	U+1F697
Side Of Car	U+1F697
Avocado	U+1F951
Baby Angel	U+1F47C
Angel	U+1F47C
Cherub	U+1F47C
Putto	U+1F47C
Cupid	U+1F47C
Baby Bottle	U+1F37C
Bottle Feeding	U+1F37C
Baby Chick	U+1F424
Yellow Bird	U+1F424
Baby Symbol	U+1F6BC
Baby Change Symbol	U+1F6BC
Baby Change Station	U+1F6BC
Nursery	U+1F6BC
Baby	U+1F476
Toddler	U+1F476
Child	U+1F476
Back With Leftwards Arrow Above	U+1F519
Back	U+1F519
Bacon	U+1F953
Bactrian Camel	U+1F42B
Camel	U+1F42B
Two Bump Camel	U+1F42B
Double Bump Camel	U+1F42B
Asian Camel	U+1F42B
Chinese Camel	U+1F42B
Badminton Racquet and Shuttlecock	U+1F3F8
Baggage Claim	U+1F6C4
Baguette Bread	U+1F956
Balloon	U+1F388
Red Balloon	U+1F388
Party	U+1F388
Ballot Box With Check	U+2611
Ballot Box With Tick	U+2611
Banana	U+1F34C
Plantain	U+1F34C
Bank	U+1F3E6
Bank Branch	U+1F3E6
BK	U+1F3E6
Banknote With Dollar Sign	U+1F4B5
Dollar Bill	U+1F4B5
American Dollar	U+1F4B5
1 Note	U+1F4B5
Banknote With Euro Sign	U+1F4B6
100 Note	U+1F4B6
Euro	U+1F4B6
Banknote With Pound Sign	U+1F4B7
20 Note	U+1F4B7
Twenty Quid Note	U+1F4B7
Pound Note	U+1F4B7
Banknote With Yen Sign	U+1F4B4
Yen Note	U+1F4B4
1000 Note	U+1F4B4
Bar Chart	U+1F4CA
Barber Pole	U+1F488
Barbers Stripes	U+1F488
Barber Shop	U+1F488
Hairdresser	U+1F488
Baseball	U+26BE
Softball	U+26BE
Basketball and Hoop	U+1F3C0
Orange Ball	U+1F3C0
Basketball	U+1F3C0
Bat	U+1F987
Black Bat	U+1F987
Batman	U+1F987
Bath	U+1F6C0
Bathing	U+1F6C0
Person in Bath	U+1F6C0
Hot Bath	U+1F6C0
Bathtub	U+1F6C1
Empty Bathtub	U+1F6C1
Bath	U+1F6C1
Battery	U+1F50B
Phone Battery	U+1F50B
AA Battery	U+1F50B
Beach With Umbrella	U+1F3D6
Bear Face	U+1F43B
Teddy Bear	U+1F43B
Cute Bear	U+1F43B
Beating Heart	U+1F493
Heartbeat	U+1F493
Butterflies In Stomach	U+1F493
Heart Alarm	U+1F493
Bed	U+1F6CF
Bedroom	U+1F6CF
Beer Mug	U+1F37A
Beer Stein	U+1F37A
Lager	U+1F37A
Bell With Cancellation Stroke	U+1F515
Ringer Disabled	U+1F515
Notifications	U+1F515
Bell	U+1F514
Ringer	U+1F514
Notifications Enabled	U+1F514
Wedding Bell	U+1F514
Bellhop Bell	U+1F6CE
Bento Box	U+1F371
Lunch Box	U+1F371
Bicycle	U+1F6B2
Bike	U+1F6B2
Push Bike	U+1F6B2
Bicyclist	U+1F6B4
Bike	U+1F6B4
Bicycle	U+1F6B4
Person On Bike	U+1F6B4
Cyclist	U+1F6B4
Bikini	U+1F459
Swimsuit	U+1F459
Bathers	U+1F459
Billiards	U+1F3B1
8 Ball	U+1F3B1
Pool	U+1F3B1
Cue Ball	U+1F3B1
Snooker	U+1F3B1
Magic 8 Ball	U+1F3B1
Biohazard Sign	U+2623
Bird	U+1F426
Birthday Cake	U+1F382
Cake With Candles	U+1F382
Cake	U+1F382
Birthday	U+1F382
Black Circle for Record	U+23FA
Black Club Suit	U+2663
Clubs	U+2663
Black Diamond Suit	U+2666
Diamonds	U+2666
Black Down-Pointing Double Triangle	U+23EC
Black Heart Suit	U+2665
Hearts	U+2665
Card With Heart	U+2665
Black Heart	U+1F5A4
Dark Heart	U+1F5A4
Black Large Square	U+2B1B
Black Left-Pointing Double Triangle With Vertical Bar	U+23EE
Black Left-Pointing Double Triangle	U+23EA
Rewind	U+23EA
Black Left-Pointing Triangle	U+25C0
Left Triangle	U+25C0
Black Medium Small Square	U+25FE
Black Medium Square	U+25FC
Black Nib	U+2712
Fountain Pen	U+2712
Pen Nib	U+2712
Black Question Mark Ornament	U+2753
Black Right-Pointing Double Triangle With Vertical Bar	U+23ED
Black Right-Pointing Double Triangle	U+23E9
Fast Forward	U+23E9
Black Right-Pointing Triangle With Double Vertical Bar	U+23EF
Black Right-Pointing Triangle	U+25B6
Play Button	U+25B6
Right Triangle	U+25B6
Black Rightwards Arrow	U+27A1
Right Arrow	U+27A1
Arrow Pointing Right	U+27A1
Black Scissors	U+2702
Cutting	U+2702
Black Small Square	U+25AA
Black Spade Suit	U+2660
Spades	U+2660
Black Square Button	U+1F532
Black Square for Stop	U+23F9
Black Sun With Rays	U+2600
Sun	U+2600
Sunshine	U+2600
Black Telephone	U+260E
Telephone	U+260E
Rotary Phone	U+260E
Black Up-Pointing Double Triangle	U+23EB
Blossom	U+1F33C
Yellow Flower	U+1F33C
