TweetID,HandLabel,AnnotatorID
14946290963451904,Negative,79
511395946853564416,Positive,6
511395992961572864,Positive,80
511396001383342080,Neutral,77
511396018131185665,Neutral,82
511396060091404288,Positive,82
511396173345591298,Neutral,81
511396190119022592,Negative,82
511396211103121408,Neutral,78
511396219487133696,Neutral,82
511396219487133696,Neutral,80
511396232066260992,Neutral,77
511396244640387072,Neutral,77
511396324348940289,Neutral,77
511396408235016192,Neutral,78
511396416611033088,Negative,77
511396450157486080,Neutral,82
511396592759234561,Neutral,77
511396630516752384,Negative,78
511396773118476289,Neutral,77
511396852806475776,Positive,82
511396894745309184,Negative,82
511396936700555264,Negative,81
511397058323169280,Positive,82
511397058323169280,Positive,80
511397188350390274,Neutral,80
511397188350390274,Neutral,78
511397196751966209,Neutral,82
511397226120097792,Neutral,77
511397255450853377,Neutral,77
511397259658149888,Positive,77
511397280629673984,Neutral,78
511397280629678080,Neutral,77
511397309985202177,Negative,82
511397309985202177,Negative,80
511397372925341698,Neutral,77
511397440029597696,Negative,6
511397469377531904,Negative,80
511397469377531904,Negative,80
511397490336075776,Negative,77
511397523911880704,Negative,82
511397611971301376,Neutral,82
511397721023188992,Neutral,81
511397721023188992,Negative,78
511397725242675200,Positive,82
511397884604841984,Neutral,80
511397884604841984,Neutral,80
511397901390475264,Neutral,82
511397922370359297,Neutral,77
511397951713734656,Positive,77
511397951722110976,Positive,80
511397951722110976,Neutral,77
511397981082640384,Neutral,78
511397981082640384,Neutral,78
511397989467062272,Negative,77
511398010446958592,Positive,82
511398052385792000,Neutral,77
511398069179408384,Negative,78
511398148841824256,Negative,6
511398153053290496,Neutral,80
511398257885736960,Negative,77
511398475989520384,Neutral,82
511398610211045377,Positive,82
511398727664140288,Neutral,80
511398727664140288,Neutral,81
511398757012082688,Negative,82
511398870283063297,Neutral,80
511399021257052160,Neutral,82
511399176450498560,Neutral,77
511399189021212673,Neutral,77
511399197435002880,Neutral,77
511399197435002880,Neutral,80
511399423935393792,Neutral,78
511399532954148865,Neutral,77
511399566533349376,Neutral,78
511399566533349376,Neutral,82
511399579099467776,Positive,77
511399658799652864,Neutral,78
511399717507301376,Neutral,6
511399730094411776,Positive,80
511399826588581888,Neutral,77
511399826588581888,Positive,80
511399851729240065,Positive,80
511399851729240065,Neutral,82
511399851738017793,Neutral,82
511399910478856192,Positive,81
511399923040784384,Positive,82
511399927235497984,Neutral,80
511399944020705281,Negative,82
511399956616183809,Neutral,77
511399960776962049,Negative,77
511399969161351168,Positive,77
511399973393817600,Neutral,78
511400040493895681,Negative,77
511400069858205696,Positive,78
511400069858205696,Positive,82
511400174707412992,Neutral,77
511400199848484865,Negative,78
511400199848484865,Negative,80
511400325711155200,Positive,6
511400338297851904,Positive,80
511400447325007872,Positive,77
511400464110608384,Positive,82
511400803832037376,Positive,80
511400803832037376,Positive,82
511400854176280577,Neutral,81
511400912892755970,Positive,82
511400929678356480,Positive,80
511401042907791360,Neutral,82
511401147765358593,Neutral,77
511401164542599168,Neutral,77
511401172927012864,Negative,77
511401294582788096,Negative,77
511401311363805184,Neutral,82
511401357493149696,Positive,78
511401357493149696,Positive,77
511401466565627904,Positive,78
511401466565627904,Positive,80
511401609171980288,Positive,80
511401634333990912,Negative,77
511401634337792002,Neutral,82
511401642705838080,Positive,82
511401655309307905,Neutral,80
511401655309307905,Neutral,81
511401722397200384,Neutral,78
511401722397200384,Positive,82
511401890152996865,Neutral,80
511401890152996865,Neutral,80
511401944682749952,Negative,82
511402041185292288,Neutral,77
511402095702863872,Positive,77
511402133431013376,Negative,77
511402259276521472,Neutral,78
511402359918821376,Neutral,77
511402359918821376,Neutral,80
511402393469071360,Negative,82
511402561258393600,Negative,77
511402640970768385,Neutral,78
511402926171234304,Neutral,6
511403014263820289,Positive,80
511403081372692480,Neutral,77
511403102306459648,Neutral,82
511403131671158784,Negative,82
511403299455897601,Neutral,81
511403479831961600,Positive,82
511403773399662593,Neutral,82
511403790185295872,Neutral,77
511403802772373504,Positive,77
511403916006019072,Neutral,78
511403916006019072,Neutral,77
511403916031184896,Positive,78
511403916031184896,Positive,80
511404020863623168,Negative,77
511404029272813568,Negative,82
511404062839820288,Neutral,77
511404092191944704,Neutral,78
511404180246769664,Neutral,80
511404268331737088,Neutral,77
511404268361105408,Negative,82
511404385771864064,Negative,81
511404419318312960,Neutral,82
511404419322109952,Negative,80
511404503241719808,Positive,82
511404524196868096,Neutral,77
511404595504250881,Neutral,77
511404671013888001,Negative,77
511404750668333056,Neutral,78
511404805206835200,Negative,77
511404884906606592,Neutral,82
511404905890713600,Neutral,77
511404905890713600,Positive,80
511404910080827392,Neutral,78
511404977181298690,Neutral,6
511404989747855360,Negative,80
511405035897356288,Neutral,77
511405077844619264,Neutral,82
511405077845016576,Negative,82
511405077845016576,Neutral,78
511405119796416512,Negative,81
511405119796416512,Negative,80
511405165937561600,Positive,82
511405199488200704,Neutral,80
511405287538835456,Positive,82
511405342077358080,Neutral,77
511405354660278273,Negative,77
511405375640178688,Negative,77
511405568591138816,Neutral,78
511405589537497088,Positive,77
511405623087751169,Negative,82
511405744755716096,Neutral,77
511405816059281408,Neutral,78
511405937660538880,Neutral,6
511405937664749569,Negative,80
511405992181891072,Negative,77
511406122209529856,Negative,82
511406264841408512,Neutral,81
511406264841408512,Neutral,80
511406365500534784,Neutral,82
511406411629080576,Positive,80
511406411629080576,Neutral,78
511406503924740099,Negative,82
511406508085481472,Neutral,77
511406520681381888,Neutral,77
