😂	1357923415
♥	611163235
❤	606282827
😍	529915039
😭	392089577
😊	391558055
😒	391281098
😘	315492854
💕	313040199
☺	295985307
😩	288198198
👌	277839106
😔	244681405
😏	235138496
😁	229423647
♻	167241067
😉	159518076
👍	151981225
🙏	149646214
😌	144996206
😳	134573015
🎶	134338498
🙌	131570754
🙈	126409989
😢	125430810
😎	125414834
✌	124094238
👀	123275847
😅	116066587
✨	111015963
😴	108136604
😄	107899823
💜	107577757
💯	106109645
💔	106003165
😑	103621224
💖	103465262
💙	99829113
😕	96804862
💁	94991949
😜	94166103
😞	93512892
😋	89979696
😐	86886754
😪	84810068
👏	84053092
💘	83546349
💞	80459708
💗	80370766
⬅	78670341
🙊	75425671
✋	73870678
💋	73735468
👉	71513965
🌸	69206592
😱	67531101
😈	64947894
🔥	64044038
😡	63009869
😃	58883482
👊	58146958
🎉	58130284
😫	57621659
🌹	55569149
😝	55246992
📷	54824883
💪	54321769
💀	53964972
☀	52391810
💛	51502859
😤	50968859
🌚	50028071
😆	49672223
😓	49434944
👈	48216345
✔	47739131
😻	47151462
😷	44924383
😀	44869926
👋	44520255
💚	44494030
😣	44265430
💓	42495444
▶	39349281
👑	39271738
😚	39029210
😛	38280258
😥	38029398
🎧	36163584
😇	35864849
✅	35261327
😖	35069746
➡	33809628
😠	33543126
😬	32625170
🌟	32284720
🔫	31998540
🙋	31899124
👎	30520506
💃	29567128
🎵	29402574
😶	28978897
1⃣	28828204
2⃣	28073381
💫	27793293
✊	26818922
👇	26391938
🔴	26240584
🙅	25697265
💥	25526901
↪	24599318
©	24023391
💭	23712318
↩	23504732
💩	23357585
👅	23270623
😰	22478551
💎	22301926
🙆	22062647
🍕	22004774
😹	20933466
🌞	20834089
🍃	20764307
🐧	20611699
💦	20280203
💤	20179279
🚶	19756051
✈	19227913
🎈	19177149
⭐	18839764
🎀	18680205
☑	18213886
🔞	17876969
😟	17830286
😨	17670140
🍀	17614148
🎤	17353639
🌺	17317121
👐	17180894
◀	16966587
👻	16849123
🌴	16739213
‼	16472717
💅	16435754
❌	16389214
👽	16381057
🙇	16135189
☁	15994336
👼	15639065
⚽	15521720
👯	15444853
❄	15223351
❗	15177669
☝	14958591
😙	14895954
🌈	14886995
🌙	14445591
💟	14187493
🎁	13413553
💝	13268688
🌍	13153840
🍻	13118765
😧	13090246
🎥	13070812
⚓	12946580
♣	12890972
⚡	12711051
✖	12585142
🏃	12532075
🌻	12496683
🌎	12293655
💐	12205063
🐶	12123478
💰	11860003
👫	11785488
🌿	11745857
🎂	11625329
🐱	11598124
🌷	11569813
☕	11482396
😵	11311108
👆	11106074
😯	10912703
😮	10902737
🏀	10848719
🎄	10837316
💍	10698136
🌝	10563651
😲	10417938
👭	10320320
💏	10183233
💸	10150062
😿	10097561
🙉	9757414
💨	9677504
🌵	9674834
♨	9549781
☎	9354480
👸	9264622
💆	9125443
🍁	9094154
🙍	9030059
🏆	8976144
💌	8970406
🍂	8941738
🎊	8916994
🇺🇸	8777700
🌼	8527723
🔪	8384078
🍩	8175638
👄	8137041
😦	7990098
🆗	7971354
🍟	7967486
